NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
     Health Insurance," 4,503 "," 5,011 "," 5,442 "," 5,932 "," 6,464 "," 7,036 "," 9,184 "," 12,347 "," 14,214 "," 16,499 "," 19,258 "," 21,843 "," 24,298 "," 27,174 "," 31,972 "," 37,954 "," 44,827 "," 51,362 "," 58,501 "," 67,397 "," 79,392 "," 93,095 "," 106,443 "," 116,374 "," 125,168 "," 132,831 "," 140,901 "," 151,868 "," 164,822 "," 183,365 "," 204,992 "," 227,744 "," 249,004 "," 265,392 "," 278,358 "," 290,294 "," 300,809 "," 310,330 "," 318,174 "," 335,223 "," 355,509 "," 387,775 "," 421,141 "," 453,290 "," 489,232 "," 528,013 "," 563,235 "," 596,849 "," 629,533 "," 670,641 "," 698,385 "," 720,454 "," 754,955 "," 776,926 "," 812,112 "," 862,143 "," 903,348 "," 938,720 "," 978,722 "," 1,034,938 "
          Private Health Insurance," 3,139 "," 3,599 "," 4,029 "," 4,459 "," 4,987 "," 5,499 "," 5,484 "," 5,504 "," 6,234 "," 7,333 "," 8,654 "," 9,673 "," 10,683 "," 11,799 "," 14,105 "," 16,695 "," 19,780 "," 22,930 "," 26,390 "," 31,028 "," 36,082 "," 41,801 "," 48,355 "," 52,261 "," 54,705 "," 57,564 "," 61,290 "," 67,032 "," 74,677 "," 84,086 "," 94,667 "," 100,158 "," 103,655 "," 105,003 "," 104,973 "," 105,224 "," 107,420 "," 111,796 "," 118,309 "," 125,915 "," 138,196 "," 150,249 "," 165,730 "," 180,641 "," 195,950 "," 212,078 "," 231,585 "," 247,084 "," 257,369 "," 273,688 "," 284,051 "," 295,015 "," 311,973 "," 316,762 "," 326,194 "," 350,253 "," 372,601 "," 389,460 "," 409,623 "," 438,124 "
          Medicare, -   , -   , -   , -   , -   , -   ," 1,255 "," 3,225 "," 4,108 "," 4,811 "," 5,359 "," 5,920 "," 6,537 "," 7,537 "," 9,388 "," 11,502 "," 13,902 "," 16,187 "," 18,639 "," 21,647 "," 26,278 "," 31,521 "," 36,662 "," 40,989 "," 45,415 "," 48,626 "," 50,793 "," 53,455 "," 56,290 "," 62,105 "," 67,336 "," 73,244 "," 82,976 "," 91,397 "," 99,730 "," 108,127 "," 114,361 "," 119,102 "," 117,825 "," 121,238 "," 123,510 "," 135,204 "," 143,680 "," 151,034 "," 162,883 "," 176,584 "," 184,931 "," 193,394 "," 205,901 "," 214,787 "," 220,764 "," 227,736 "," 237,976 "," 246,285 "," 253,538 "," 261,744 "," 273,935 "," 286,384 "," 300,147 "," 315,837 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 726 ," 1,624 "," 1,703 "," 2,031 "," 2,647 "," 3,316 "," 3,738 "," 3,990 "," 4,226 "," 5,014 "," 5,766 "," 6,602 "," 7,008 "," 7,774 "," 9,214 "," 11,062 "," 11,782 "," 12,947 "," 13,961 "," 14,624 "," 15,963 "," 17,773 "," 19,712 "," 22,269 "," 26,663 "," 36,545 "," 43,940 "," 49,458 "," 53,671 "," 56,800 "," 58,871 "," 59,621 "," 61,705 "," 66,810 "," 70,941 "," 77,380 "," 84,466 "," 90,325 "," 96,807 "," 103,834 "," 108,914 "," 117,312 "," 122,957 "," 134,028 "," 142,204 "," 144,359 "," 150,650 "," 157,047 "," 171,672 "," 186,209 "," 190,468 "," 193,081 "," 198,186 "," 206,610 "
                          Federal  , -   , -   , -   , -   , -   , -   , 351 , 786 , 882 ," 1,120 "," 1,423 "," 1,882 "," 2,063 "," 2,065 "," 2,404 "," 2,747 "," 3,568 "," 3,708 "," 3,875 "," 4,347 "," 5,018 "," 6,028 "," 6,423 "," 7,075 "," 7,578 "," 7,931 "," 8,723 "," 9,707 "," 10,975 "," 12,505 "," 15,861 "," 24,955 "," 31,651 "," 34,615 "," 35,592 "," 36,732 "," 37,868 "," 37,757 "," 38,031 "," 40,907 "," 42,668 "," 46,982 "," 50,750 "," 55,298 "," 59,110 "," 60,438 "," 62,225 "," 67,291 "," 72,768 "," 88,444 "," 95,523 "," 88,563 "," 87,411 "," 90,459 "," 106,471 "," 120,302 "," 123,702 "," 123,975 "," 127,356 "," 134,207 "
                          State and Local, -   , -   , -   , -   , -   , -   , 375 , 838 , 821 , 912 ," 1,224 "," 1,434 "," 1,675 "," 1,926 "," 1,822 "," 2,267 "," 2,198 "," 2,893 "," 3,133 "," 3,427 "," 4,196 "," 5,034 "," 5,360 "," 5,872 "," 6,383 "," 6,693 "," 7,240 "," 8,066 "," 8,737 "," 9,764 "," 10,801 "," 11,590 "," 12,290 "," 14,843 "," 18,079 "," 20,068 "," 21,003 "," 21,864 "," 23,673 "," 25,903 "," 28,273 "," 30,398 "," 33,716 "," 35,027 "," 37,697 "," 43,397 "," 46,689 "," 50,020 "," 50,190 "," 45,584 "," 46,681 "," 55,796 "," 63,240 "," 66,588 "," 65,201 "," 65,907 "," 66,766 "," 69,106 "," 70,830 "," 72,403 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 149 , 465 , 933 ," 1,389 "," 1,813 "," 2,053 "," 2,606 "," 2,657 "," 2,350 "," 2,636 "," 3,136 "," 3,214 "," 3,169 "," 3,318 "," 3,414 "," 3,478 "," 3,384 "," 3,685 "," 4,367 "," 4,645 "," 4,684 "," 5,103 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 103 , 324 , 646 , 958 ," 1,246 "," 1,411 "," 1,779 "," 1,809 "," 1,600 "," 1,801 "," 2,152 "," 2,223 "," 2,182 "," 2,289 "," 2,351 "," 2,399 "," 2,349 "," 2,750 "," 3,934 "," 4,177 "," 4,286 "," 4,541 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 47 , 141 , 287 , 432 , 568 , 641 , 827 , 848 , 750 , 835 , 984 , 991 , 986 ," 1,029 "," 1,063 "," 1,079 "," 1,035 ", 935 , 433 , 468 , 398 , 562 
         Department of Defense, 543 , 559 , 533 , 542 , 508 , 519 , 684 , 869 , 988 ," 1,020 "," 1,067 "," 1,182 "," 1,325 "," 1,519 "," 1,708 "," 1,797 "," 1,852 "," 2,000 "," 2,220 "," 2,517 "," 2,819 "," 3,275 "," 3,694 "," 3,887 "," 4,200 "," 4,917 "," 5,441 "," 5,828 "," 6,034 "," 6,310 "," 7,053 "," 7,815 "," 7,847 "," 8,173 "," 7,855 "," 7,963 "," 7,629 "," 7,616 "," 7,578 "," 7,434 "," 7,640 "," 8,045 "," 8,990 "," 10,408 "," 11,424 "," 12,032 "," 12,884 "," 13,716 "," 14,222 "," 15,633 "," 16,537 "," 16,995 "," 16,663 "," 16,484 "," 16,608 "," 15,777 "," 16,225 "," 16,743 "," 16,303 "," 16,777 "
         Department of Veterans Affairs, 821 , 853 , 879 , 930 , 969 ," 1,018 "," 1,035 "," 1,125 "," 1,181 "," 1,304 "," 1,532 "," 1,752 "," 2,015 "," 2,328 "," 2,544 "," 2,947 "," 3,528 "," 3,643 "," 4,243 "," 4,431 "," 4,997 "," 5,436 "," 5,951 "," 6,290 "," 6,886 "," 7,100 "," 7,414 "," 7,780 "," 8,109 "," 8,595 "," 9,274 "," 9,983 "," 10,586 "," 11,361 "," 12,129 "," 12,181 "," 12,528 "," 12,194 "," 12,608 "," 13,361 "," 14,289 "," 15,507 "," 16,462 "," 18,829 "," 19,563 "," 20,828 "," 22,571 "," 22,707 "," 25,947 "," 29,291 "," 31,661 "," 33,032 "," 34,279 "," 36,869 "," 40,717 "," 44,476 "," 45,752 "," 48,408 "," 49,779 "," 52,488 "
     Other Third Party Payers and Programs," 2,643 "," 2,885 "," 3,054 "," 3,386 "," 3,553 "," 3,844 "," 3,828 "," 3,656 "," 4,183 "," 4,732 "," 5,482 "," 5,947 "," 6,601 "," 7,184 "," 8,203 "," 9,007 "," 10,090 "," 10,850 "," 12,155 "," 13,624 "," 15,791 "," 18,169 "," 20,056 "," 20,813 "," 21,176 "," 23,049 "," 26,451 "," 28,875 "," 31,935 "," 32,400 "," 34,372 "," 36,245 "," 37,271 "," 38,325 "," 39,452 "," 39,000 "," 39,834 "," 42,136 "," 44,861 "," 45,819 "," 46,711 "," 47,937 "," 50,183 "," 55,749 "," 57,944 "," 61,054 "," 67,064 "," 73,114 "," 69,061 "," 75,411 "," 83,450 "," 84,471 "," 92,115 "," 97,260 "," 97,167 "," 97,127 "," 101,485 "," 107,016 "," 110,467 "," 121,108 "
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, 178 , 212 , 244 , 286 , 332 , 380 , 432 , 510 , 642 , 796 ," 1,063 "," 1,217 "," 1,401 "," 1,400 "," 1,599 "," 1,776 "," 2,723 "," 2,927 "," 3,498 "," 4,023 "," 5,805 "," 6,920 "," 7,933 "," 8,342 "," 8,439 "," 9,429 "," 10,276 "," 11,002 "," 12,760 "," 12,313 "," 12,278 "," 13,135 "," 13,668 "," 14,244 "," 14,966 "," 16,306 "," 17,727 "," 20,189 "," 22,271 "," 23,522 "," 24,402 "," 23,313 "," 24,349 "," 27,857 "," 28,617 "," 30,569 "," 35,399 "," 39,902 "," 34,220 "," 40,133 "," 46,393 "," 47,355 "," 54,753 "," 58,783 "," 59,881 "," 59,372 "," 63,314 "," 68,753 "," 70,998 "," 80,465 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 125 , 162 , 193 , 229 , 241 , 237 , 273 , 273 , 318 , 364 , 404 , 401 , 420 , 445 , 434 , 527 , 632 , 748 , 767 , 767 , 843 , 832 , 879 , 857 , 882 , 947 ," 1,039 "," 1,052 "," 1,140 "," 1,208 "," 1,225 "," 1,275 "," 1,294 "," 1,369 "," 1,569 "," 1,769 "," 1,797 "," 1,873 "," 1,840 "," 1,898 "," 1,900 "," 1,959 "," 1,988 "," 2,102 "," 2,202 "
         Workers' Compensation, 152 , 161 , 173 , 184 , 198 , 210 , 240 , 255 , 348 , 486 , 525 , 565 , 634 , 743 , 897 ," 1,048 "," 1,238 "," 1,386 "," 1,566 "," 1,842 "," 2,068 "," 2,325 "," 2,692 "," 2,945 "," 3,241 "," 3,637 "," 4,092 "," 4,605 "," 5,225 "," 6,096 "," 6,870 "," 7,608 "," 8,244 "," 8,340 "," 7,717 "," 7,431 "," 7,368 "," 7,547 "," 7,897 "," 8,488 "," 8,805 "," 9,686 "," 10,214 "," 10,900 "," 11,124 "," 11,400 "," 11,607 "," 11,960 "," 13,228 "," 13,330 "," 13,991 "," 14,845 "," 15,375 "," 16,047 "," 16,134 "," 16,098 "," 16,198 "," 16,081 "," 16,619 "," 16,765 "
         General Assistance, 81 , 88 , 82 , 83 , 91 , 100 , 142 , 180 , 211 , 254 , 296 , 339 , 414 , 491 , 589 , 727 , 817 , 926 , 974 ," 1,093 "," 1,301 "," 1,536 "," 1,704 "," 1,833 "," 1,945 "," 2,104 "," 2,140 "," 2,141 "," 2,171 "," 2,487 "," 3,171 "," 3,367 "," 3,596 "," 3,100 "," 3,308 "," 3,091 "," 3,061 "," 2,836 "," 2,616 "," 1,641 "," 1,481 "," 1,929 "," 1,875 "," 1,730 "," 1,819 "," 1,730 "," 1,936 "," 2,160 "," 2,371 "," 2,162 "," 2,276 "," 2,304 "," 2,606 "," 3,017 "," 3,191 "," 3,200 "," 2,789 "," 2,627 "," 2,740 "," 2,836 "
         Maternal/Child Health, 19 , 29 , 29 , 30 , 30 , 34 , 42 , 45 , 53 , 63 , 59 , 65 , 69 , 67 , 76 , 82 , 89 , 94 , 100 , 111 , 124 , 127 , 135 , 139 , 135 , 152 , 161 , 171 , 171 , 174 , 177 , 202 , 223 , 229 , 236 , 232 , 234 , 243 , 239 , 247 , 257 , 266 , 275 , 283 , 284 , 286 , 282 , 315 , 348 , 338 , 338 , 320 , 304 , 318 , 337 , 331 , 323 , 332 , 354 , 358 
                          Federal  , 5 , 9 , 9 , 9 , 10 , 14 , 19 , 23 , 26 , 30 , 23 , 29 , 36 , 31 , 38 , 43 , 46 , 48 , 51 , 52 , 53 , 53 , 54 , 57 , 47 , 53 , 50 , 53 , 53 , 55 , 53 , 58 , 63 , 62 , 62 , 59 , 56 , 55 , 53 , 54 , 54 , 55 , 56 , 56 , 56 , 56 , 55 , 54 , 54 , 55 , 55 , 55 , 54 , 53 , 54 , 54 , 54 , 54 , 55 , 56 
                          State and Local, 14 , 20 , 20 , 21 , 20 , 20 , 23 , 22 , 27 , 33 , 36 , 36 , 33 , 35 , 38 , 40 , 43 , 46 , 49 , 58 , 71 , 74 , 81 , 82 , 89 , 100 , 111 , 118 , 118 , 120 , 124 , 144 , 160 , 167 , 173 , 174 , 178 , 189 , 186 , 193 , 203 , 211 , 219 , 227 , 228 , 230 , 227 , 261 , 294 , 283 , 282 , 265 , 250 , 266 , 283 , 277 , 269 , 279 , 299 , 302 
         Vocational Rehabilitation, 7 , 8 , 10 , 13 , 15 , 19 , 26 , 46 , 64 , 72 , 82 , 94 , 97 , 103 , 100 , 99 , 92 , 96 , 92 , 91 , 89 , 96 , 96 , 93 , 90 , 86 , 84 , 83 , 82 , 83 , 90 , 90 , 83 , 74 , 86 , 82 , 73 , 70 , 72 , 82 , 107 , 120 , 122 , 124 , 120 , 116 , 131 , 118 , 108 , 118 , 133 , 131 , 115 , 126 , 149 , 146 , 146 , 156 , 168 , 181 
                          Federal  , 4 , 5 , 6 , 8 , 9 , 13 , 19 , 34 , 48 , 55 , 64 , 73 , 76 , 80 , 78 , 77 , 71 , 75 , 71 , 70 , 68 , 73 , 72 , 70 , 69 , 66 , 65 , 65 , 64 , 64 , 70 , 70 , 66 , 56 , 65 , 63 , 55 , 52 , 55 , 61 , 80 , 92 , 94 , 95 , 93 , 89 , 99 , 89 , 82 , 90 , 104 , 103 , 90 , 96 , 115 , 113 , 112 , 119 , 129 , 139 
                          State and Local, 3 , 3 , 4 , 5 , 6 , 7 , 7 , 12 , 16 , 17 , 18 , 21 , 21 , 22 , 22 , 22 , 22 , 21 , 21 , 21 , 21 , 24 , 24 , 23 , 21 , 20 , 19 , 18 , 18 , 19 , 20 , 20 , 17 , 18 , 20 , 19 , 18 , 17 , 17 , 21 , 27 , 29 , 28 , 29 , 27 , 27 , 31 , 29 , 25 , 28 , 29 , 28 , 26 , 30 , 34 , 33 , 34 , 36 , 39 , 42 
         Other Federal Programs*, 178 , 225 , 295 , 342 , 351 , 370 , 263 , 192 , 199 , 221 , 322 , 426 , 430 , 428 , 439 , 283 , 341 , 359 , 389 , 418 , 412 , 398 , 348 , 146 , 172 , 177 , 182 , 195 , 203 , 221 , 244 , 276 , 299 , 315 , 303 , 303 , 337 , 337 , 377 , 451 , 637 ," 1,012 "," 1,117 "," 1,156 "," 1,209 "," 1,220 "," 1,281 "," 1,282 "," 1,277 "," 1,342 "," 1,331 "," 1,719 "," 2,385 "," 2,311 "," 1,516 "," 1,453 "," 1,546 "," 1,634 "," 1,724 "," 1,793 "
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 82 , 74 , 76 , 85 , 78 , 91 , 83 , 62 , 54 , 51 , 40 , 38 , 43 , 56 , 43 , 81 , 165 , 126 , 86 , 86 , 86 , 121 , 129 , 163 , 186 , 174 , 182 , 185 , 178 , 172 , 164 , 162 , 162 , 162 , 166 , 158 , 146 , 174 , 166 , 176 , 176 , 182 , 179 , 179 , 179 
         Other State and Local Programs**," 2,027 "," 2,162 "," 2,220 "," 2,448 "," 2,537 "," 2,731 "," 2,683 "," 2,429 "," 2,665 "," 2,841 "," 3,135 "," 3,242 "," 3,556 "," 3,953 "," 4,504 "," 4,785 "," 4,553 "," 4,793 "," 5,220 "," 5,728 "," 5,664 "," 6,410 "," 6,813 "," 6,942 "," 6,738 "," 7,021 "," 9,078 "," 10,214 "," 10,822 "," 10,549 "," 10,933 "," 10,772 "," 10,284 "," 11,168 "," 11,983 "," 10,627 "," 10,081 "," 9,907 "," 10,370 "," 10,321 "," 9,901 "," 10,390 "," 10,994 "," 12,380 "," 13,392 "," 14,345 "," 14,992 "," 15,920 "," 15,979 "," 16,254 "," 17,061 "," 15,854 "," 14,530 "," 14,652 "," 13,884 "," 14,450 "," 15,028 "," 15,265 "," 15,583 "," 16,329 "
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ," 1,982 "," 4,849 "," 5,811 "," 6,842 "," 8,005 "," 9,236 "," 10,275 "," 11,528 "," 13,614 "," 16,516 "," 19,668 "," 22,789 "," 25,647 "," 29,421 "," 35,493 "," 42,583 "," 48,444 "," 53,936 "," 59,377 "," 63,250 "," 66,757 "," 71,228 "," 76,002 "," 84,374 "," 93,998 "," 109,789 "," 126,916 "," 140,855 "," 153,401 "," 164,927 "," 173,231 "," 178,723 "," 179,679 "," 188,513 "," 195,384 "," 213,973 "," 229,959 "," 243,411 "," 262,295 "," 283,075 "," 296,195 "," 313,342 "," 331,994 "," 352,029 "," 366,136 "," 375,413 "," 392,040 "," 406,810 "," 428,593 "," 451,637 "," 468,770 "," 484,110 "," 503,018 "," 527,549 "
Total Physician and Clinical Expenditures," 5,551 "," 5,814 "," 6,261 "," 7,074 "," 8,109 "," 8,587 "," 9,309 "," 10,448 "," 11,344 "," 12,716 "," 14,331 "," 15,917 "," 17,706 "," 19,559 "," 22,215 "," 25,309 "," 28,672 "," 33,112 "," 35,833 "," 41,192 "," 47,717 "," 55,619 "," 61,635 "," 68,643 "," 77,413 "," 90,856 "," 100,713 "," 112,911 "," 128,639 "," 143,294 "," 158,942 "," 176,525 "," 191,248 "," 202,741 "," 212,132 "," 222,258 "," 230,825 "," 241,661 "," 256,459 "," 269,493 "," 288,168 "," 312,675 "," 337,669 "," 364,301 "," 389,399 "," 413,011 "," 434,728 "," 457,518 "," 481,882 "," 497,681 "," 512,567 "," 535,853 "," 557,109 "," 567,856 "," 596,684 "," 635,941 "," 675,510 "," 709,552 "," 738,164 "," 772,115 "
     Out of pocket," 3,288 "," 3,378 "," 3,575 "," 4,006 "," 4,613 "," 4,852 "," 4,817 "," 4,805 "," 5,102 "," 5,743 "," 6,426 "," 6,844 "," 7,333 "," 7,758 "," 8,406 "," 9,036 "," 10,039 "," 11,314 "," 11,569 "," 12,828 "," 14,124 "," 16,047 "," 17,240 "," 18,505 "," 20,573 "," 24,105 "," 26,817 "," 27,807 "," 29,341 "," 29,673 "," 29,878 "," 30,532 "," 30,111 "," 29,126 "," 27,454 "," 25,865 "," 26,518 "," 27,883 "," 29,093 "," 29,890 "," 31,470 "," 32,899 "," 34,542 "," 36,684 "," 38,403 "," 41,140 "," 42,728 "," 44,740 "," 46,044 "," 44,547 "," 47,761 "," 50,603 "," 50,909 "," 51,455 "," 52,153 "," 54,272 "," 56,778 "," 58,115 "," 59,760 "," 60,623 "
     Health Insurance," 1,814 "," 1,941 "," 2,146 "," 2,486 "," 2,854 "," 3,025 "," 3,747 "," 4,861 "," 5,434 "," 6,148 "," 6,922 "," 7,947 "," 9,091 "," 10,293 "," 12,003 "," 13,834 "," 15,921 "," 18,650 "," 20,554 "," 23,919 "," 28,192 "," 33,134 "," 37,243 "," 41,973 "," 47,221 "," 55,091 "," 60,376 "," 69,330 "," 80,994 "," 93,179 "," 106,379 "," 121,085 "," 133,754 "," 144,753 "," 154,935 "," 165,102 "," 171,847 "," 179,586 "," 188,022 "," 199,170 "," 216,747 "," 237,719 "," 259,790 "," 281,476 "," 301,982 "," 321,341 "," 339,199 "," 356,978 "," 378,070 "," 396,400 "," 406,658 "," 427,041 "," 443,680 "," 449,950 "," 476,452 "," 505,811 "," 534,695 "," 561,636 "," 587,154 "," 619,347 "
          Private Health Insurance," 1,570 "," 1,667 "," 1,821 "," 2,106 "," 2,500 "," 2,711 "," 2,772 "," 2,847 "," 3,110 "," 3,600 "," 4,141 "," 4,695 "," 5,344 "," 5,994 "," 6,872 "," 7,803 "," 9,142 "," 10,852 "," 11,825 "," 13,945 "," 16,301 "," 19,132 "," 21,220 "," 23,509 "," 26,973 "," 32,630 "," 34,713 "," 39,986 "," 48,953 "," 56,995 "," 65,616 "," 76,319 "," 85,242 "," 93,023 "," 98,578 "," 104,069 "," 107,657 "," 111,272 "," 116,385 "," 121,875 "," 131,670 "," 144,054 "," 157,520 "," 171,288 "," 181,022 "," 192,808 "," 200,784 "," 210,153 "," 218,288 "," 221,853 "," 224,128 "," 234,357 "," 241,595 "," 237,908 "," 244,243 "," 258,106 "," 276,899 "," 290,165 "," 295,739 "," 305,001 "
          Medicare, -   , -   , -   , -   , -   , -   , 443 ," 1,226 "," 1,457 "," 1,570 "," 1,643 "," 1,855 "," 2,027 "," 2,271 "," 2,854 "," 3,467 "," 4,100 "," 4,980 "," 5,872 "," 6,871 "," 8,315 "," 9,838 "," 11,757 "," 13,860 "," 15,401 "," 17,001 "," 19,445 "," 22,494 "," 24,401 "," 27,674 "," 30,425 "," 31,981 "," 33,652 "," 35,244 "," 38,719 "," 42,189 "," 44,587 "," 47,542 "," 50,140 "," 54,130 "," 59,072 "," 64,302 "," 68,637 "," 74,169 "," 81,263 "," 86,408 "," 92,413 "," 97,260 "," 105,557 "," 114,141 "," 118,151 "," 124,871 "," 131,259 "," 135,671 "," 142,332 "," 149,334 "," 154,506 "," 164,068 "," 178,042 "," 192,968 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 141 , 348 , 429 , 519 , 649 , 846 ," 1,093 "," 1,353 "," 1,539 "," 1,783 "," 1,822 "," 1,897 "," 1,991 "," 2,153 "," 2,432 "," 2,839 "," 2,793 "," 3,092 "," 3,190 "," 3,521 "," 4,028 "," 4,477 "," 4,913 "," 5,600 "," 7,026 "," 9,113 "," 11,152 "," 12,683 "," 13,695 "," 14,788 "," 15,241 "," 16,310 "," 16,766 "," 17,478 "," 19,294 "," 21,435 "," 24,039 "," 25,205 "," 27,993 "," 30,103 "," 31,817 "," 33,586 "," 35,998 "," 40,310 "," 43,413 "," 45,329 "," 47,319 "," 51,882 "," 64,430 "," 70,104 "," 73,218 "," 75,573 "," 78,750 "," 83,278 "
                          Federal  , -   , -   , -   , -   , -   , -   , 68 , 169 , 223 , 286 , 349 , 481 , 594 , 706 , 873 , 976 ," 1,041 "," 1,075 "," 1,103 "," 1,215 "," 1,366 "," 1,603 "," 1,582 "," 1,761 "," 1,798 "," 1,977 "," 2,280 "," 2,540 "," 2,847 "," 3,272 "," 4,119 "," 5,305 "," 6,678 "," 7,658 "," 8,073 "," 8,628 "," 8,954 "," 9,489 "," 9,814 "," 10,229 "," 11,377 "," 12,682 "," 14,205 "," 15,575 "," 17,151 "," 17,993 "," 18,931 "," 19,826 "," 22,202 "," 27,846 "," 30,247 "," 28,703 "," 28,824 "," 32,309 "," 44,364 "," 48,898 "," 51,325 "," 51,887 "," 53,576 "," 57,742 "
                          State and Local, -   , -   , -   , -   , -   , -   , 73 , 180 , 207 , 233 , 300 , 365 , 499 , 647 , 666 , 807 , 780 , 822 , 888 , 937 ," 1,066 "," 1,235 "," 1,211 "," 1,331 "," 1,392 "," 1,544 "," 1,748 "," 1,937 "," 2,065 "," 2,327 "," 2,907 "," 3,808 "," 4,474 "," 5,025 "," 5,622 "," 6,160 "," 6,287 "," 6,821 "," 6,952 "," 7,249 "," 7,917 "," 8,753 "," 9,834 "," 9,630 "," 10,842 "," 12,110 "," 12,885 "," 13,760 "," 13,796 "," 12,464 "," 13,166 "," 16,626 "," 18,495 "," 19,573 "," 20,067 "," 21,205 "," 21,893 "," 23,686 "," 25,174 "," 25,536 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 56 , 494 , 731 ," 1,001 "," 1,192 "," 1,435 "," 1,604 "," 1,653 "," 2,518 "," 2,573 "," 2,746 "," 2,973 "," 3,064 "," 3,046 "," 3,200 "," 3,531 "," 3,198 "," 3,522 "," 3,918 "," 4,285 "," 4,389 "," 4,642 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 39 , 338 , 506 , 702 , 840 ," 1,015 "," 1,125 "," 1,158 "," 1,717 "," 1,778 "," 1,906 "," 2,070 "," 2,121 "," 2,117 "," 2,219 "," 2,451 "," 2,231 "," 2,607 "," 3,556 "," 3,897 "," 4,053 "," 4,187 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 17 , 155 , 225 , 299 , 351 , 421 , 479 , 494 , 801 , 796 , 840 , 903 , 943 , 929 , 982 ," 1,080 ", 968 , 915 , 362 , 388 , 336 , 455 
         Department of Defense, 218 , 248 , 298 , 352 , 324 , 284 , 359 , 408 , 403 , 420 , 448 , 502 , 568 , 605 , 659 , 681 , 728 , 798 , 717 , 797 , 971 ," 1,131 "," 1,250 "," 1,264 "," 1,389 "," 1,662 "," 1,872 "," 2,019 "," 2,351 "," 2,530 "," 2,893 "," 3,201 "," 3,198 "," 3,229 "," 3,303 "," 3,357 "," 3,552 "," 3,582 "," 3,687 "," 4,101 "," 4,673 "," 5,393 "," 6,645 "," 7,199 "," 7,716 "," 7,866 "," 8,967 "," 10,022 "," 11,175 "," 11,822 "," 12,122 "," 13,069 "," 13,740 "," 13,741 "," 14,324 "," 14,807 "," 15,284 "," 15,579 "," 16,308 "," 17,112 "
